arabic,english
أحد الولدين يعرف ذلك.,One of these two boys knows that.
أقلعت الطائرات النفاثة واحدة تلو الأخرى.,The jets took off one after another.
إتحدت الدول الثلاث ليكوّنوا دولة واحدة.,These three countries were united into one.
إتحدت الدول الثلاث ليكوّنوا دولة واحدة.,The three countries were united to make one country.
كان ذلك أمله الوحيد.,This was his one and only hope.
هذا سؤال مهم جداً.,This question is one of great importance.
هذا الكتاب أقدم من ذاك.,This book is older than that one.
هذا الحيوان أكبر من ذاك.,This animal is bigger than that one.
عرض هذا النهر ميل.,This river is one mile across.
أداء هذه السيارة أفضل من تلك.,This car has a better performance than that one.
هذه السيارة أكبر من تلك.,This car is bigger than that one.
كنت أمتلك سيارة نيسان قبل أن أمتلك هذه.,I had a Nissan before this one.
هذا القاموس أفضل من ذاك.,This dictionary is superior to that one.
هذه الساعة أفضل من تلك.,This watch is superior to that one.
أعيش في الطابق الأرضي.,I live on the bottom floor.
اطمأن والدا توم عندما سمعا بأنه بخير.,John's parents seemed relieved to hear that he was safe.
كان زوجي الأخير غبيًا بالفعل.,My last husband was really stupid.
ذهب للمتجر في آخر لحظة، قبل الإغلاق بقليل.,"He went to the store at the last minute, just before it closed."
إنه آخر من أطلب منه المساعدة فهو شخص لا يعتمد عليه.,"He's the last person I would ask help from, because he is completely unreliable."
استمرت الخطبة ثلاثين دقيقة.,The speech lasted thirty minutes.
دامت الخطبة ثلاثين دقيقة.,The speech lasted thirty minutes.
استمر الجو الممطر عشرة أيام متواصلة.,The rainy weather lasted for ten days straight.
نعم، سيكفي الحليب حتى يوم الجمعة.,"Yes, the milk will last till Friday."
إنه مريض.,He is ill.
إنه مريض.,He is sick.
إنه مريض.,It's sick.
ستبدأ المسرحية في الساعة الثامنة.,The play is at eight o'clock.
لقد زرت روما.,I have been to Rome.
إنها تتناول العشاء.,She is having dinner.
سنلعب التنس في عطلة نهاية الأسبوع.,We are playing tennis this weekend.
سُرقت محفظتي بالأمس.,My wallet was stolen yesterday.
نساء فرنسا جميلات.,The women of France are beautiful.
أحد أعمامي طبيب.,An uncle of mine is a doctor.
السكرتيرة متعبة من الطباعة.,The secretary is tired of typing.
هناك وحش تحت سريري.,There's a monster under my bed.
هناك بعبع تحت سريري.,There's a boogeyman under my bed.
مشى إلى البيت.,He walked to the house.
ذهب إلى الدكان.,He went to the shop.
ذهب إلى الدكان.,He went to the store.
ذهب إلى المحل التجاري.,He went to the shop.
ذهب إلى المتجر.,He went to the shop.
تتراوح درجة الحرارة في الصيف من ثلاثين إلى أربعين درجة.,"In the summer, the temperature ranges from thirty to forty degrees Celsius."
فاز فريق مانتشستر يونايتد بأربعة أهداف مقابل إثنين.,"Manchester United won the match, four to two."
إلى أين أنت ذاهب؟,Where are you going to?
إلى أين أنت ذاهب؟,Where are you going?
أنا أحبك.,I love you.
أحبك.,I love you.
أحبك.,I do love you.
أحبك.,I like you.
أحب أكل اللازانيا.,I love lasagna.
أحب الرحلات.,I love trips.
الحب أعمى.,Love is by nature blind.
الحب أعمى.,Love is blind.
الحب و السلام.,Love and Peace.
هل يحب الجميع الموسيقى؟,Does everybody love music?
أحِبَّ جيرانك.,Love your neighbors.
أحب هذه الصورة.,I love this picture.
أتحبني؟,Do you love me?
الحب لا يرى عيوباً.,Love sees no faults.
الطفل يحتاج الى الحنان.,A child needs love.
نحن نحب بعضنا البعض.,We love each other.
أحب هذا الإعلان التلفزيوني.,I love that commercial.
أحب الأفلام الأمريكية.,I love American movies.
أحب مشاهدة مبارايات كرة السلة.,I love watching basketball.
أحب الأفلام الفرنسية.,I love French films.
أحب الأفلام الفرنسية.,I love French movies.
أحب قصص الغرام.,I like love stories.
أعشق موسيقى الروك.,I love rock.
أحب قراءة الكتب.,I love reading books.
أحبها.,I love her.
أحب القصص المصورة.,I love comic books.
أنا أيضاً أحب الموسيقى.,"I love music, too."
نحن نحب أولادنا.,We love our children.
الناس يحبون الحرية.,People love freedom.
هل هذا هو الحب؟,Is this love?
أحب الرقص.,I love to dance.
أحب أن أرقص.,I love to dance.
ابق هنا معنا.,Stay here with us.
ابق معنا.,Stay here with us.
خذني معك.,Take me with you.
عادةً ما تشرب أختي الكبيرة الشاي مع الحليب.,My older sister often drinks tea with milk.
لا ليس معي.,"No, I don't have it with me."
تعال معنا.,Come along.
تعال معنا.,Come with us.
أكنت مع أحد؟,Were you with anyone?
أكنت مع أحدهم؟,Were you with anyone?
أوافقك الرأي.,I agree with you.
يلعب الأولاد باللعب.,Children play with toys.
اجلس معي.,Sit down with me.
أنا اختلف معك في الرأي.,I disagree with you.
لا أوافقك الرأي.,I don't agree with you.
لا أوافقك الرأي.,I disagree with you.
أختلف معك.,I disagree with you.
ألعب معه.,I play with him.
أعمل معه.,I work with him.
أوافقه الرأي.,I agree with him.
أوافقه الرأي.,I agree with his opinion.
وافقتها الرأي.,I agreed with her.
تسقط الحكومة!,Down with the Government!
النهار يتبع الليل.,Day alternates with night.
انفجر غاضباً.,He exploded with anger.
سلم عليه.,Shake hands with him.
صرخ ألماً.,He yelled with pain.
اضحك معهم.,Laugh with them.
ارتجفت خوفاً.,She trembled with fear.
صرخت رعباً.,She screamed with terror.
تخرجت بإمتياز.,She graduated with honors.
أجابت باكيةً.,She answered with tears.
كان واضحاً كالشمس أن شنجي سيموت من الجوع.,It was as clear as day that Shinji would die from hunger.
جميلة كالوردة.,It's as lovely as a rose.
امش بأسرع ما يمكنك.,Walk as fast as possible.
بارد كالثلج.,It's as cold as ice.
كيوتو ليست كبيرة كأوساكا.,Kyoto is not as large as Osaka.
مج بطول كن.,Meg is as tall as Ken.
ماري ليست بطوله.,Mary is not as tall as he.
"متى ستعود؟ ""يعتمد ذلك على الجو.""","When will you be back? ""It all depends on the weather."""
لا أفهم.,I do not understand.
لا أفهم.,I don't understand.
ليس هذا مهماً.,It's not important.
المال ليس كل شيء.,Money is not everything.
لم لا؟,Why not?
ربما لا.,Perhaps not.
!مجدداً؟ ليس مرة أخرى!,Again? Not again!
بالله عليك!,Come on!
ظل يمشي.,He walked on and on.
مشى باسمرار.,He walked on and on.
ظل يركض.,He ran on and on.
لا لست نعساناً.,"No, I'm not sleepy."
أليست سوداء؟,Is it not black?
أليست سوداء؟,Isn't it black?
لا ليس حقا.,"No, not really."
لا تأت هنا.,Do not come here.
لا ، لا يمكنك.,"No, you may not."
لا ، لن تحتاج.,"No, you need not."
يجب أن لا تلعب.,You must not play.
يجب أن لا تنام.,You should not sleep.
أنت لست يابانياً.,You are not Japanese.
لا تتسرع بالإجابة.,Do not answer hastily.
لست مشغولاً.,I'm not busy.
لا تتدخل!,Do not interfere!
إنه ليس مدخنا.,He does not smoke.
إنه ليس مدخنا.,He is not a smoker.
إنه ليس مدخنا.,He isn't a smoker.
هو لا يدخن.,He does not smoke.
هو لا يدخن.,He doesn't smoke.
لن يذهب.,He will not go.
ليس موجوداً.,He is not available.
هو ليس يابانياً.,He is not Japanese.
ليس غبياً.,He is not stupid.
ليس غبياً.,He's not stupid.
لا تزعجها.,Do not disturb her.
ليست طويلة.,She is not tall.
من الممكن أن لا تأتي.,She may not come.
من الممكن أن لا تأتي.,Possibly she will not come.
من الممكن أن لا تأتي.,It's possible that she won't come.
من الممكن أن لا تأتي.,Maybe she won't come.
من الممكن أن لا تأتي.,Maybe she will not come.
لا ، لا أعتقد ذلك.,"No, I suppose not."
أنا عاطل عن العمل.,I do not work.
لست سريعاً بما فيه الكفاية.,You're not fast enough.
انها ليست غلطتي!,It's not my fault!
الأمل ليس خطةً.,Hope is not a strategy.
الأمل ليس استراتيجية.,Hope is not a strategy.
أشعر بوعكة.,I'm not feeling well.
نحتاج إلى العمل وليس الكلام.,"We need action, not words."
لم تدم صداقتنا.,Our friendship did not last.
لا أحب مادة العلوم.,I do not like science.
لم تر طبيباً؟,Why not see the doctor?
لم تر طبيباً؟,Haven't you seen the doctor?
لن يعمل الراديو.,The radio will not work.
لن نصل إلى أي مكان.,We're not getting anywhere.
